name,region,website,address,phone
"Arkhimed, Stroymarket, Ooo",Санкт-Петербург,arhimedmarket.ru,"пр. Просвещения, 35, Санкт-Петербург, Русија, 194295",+7 812 240-21-30
Stroytovary,Санкт-Петербург,arhimedmarket.ru,"Финский пер., 9, Санкт-Петербург, Русија, 195009",+7 921 345-82-38
Metizy-Kamkabel',Санкт-Петербург,arhimedmarket.ru,"Лиговский пр., 179, Санкт-Петербург, Русија, 192007",+7 812 490-46-22
Platon Spb,Санкт-Петербург,spbplaton.ru,"Удельный пр., 29, Санкт-Петербург, Русија, 194214",+7 812 642-50-74
Материк. Офис продаж «Смоленка»,Санкт-Петербург,materik-m.ru,"наб. реки Смоленки, д.31, Санкт-Петербург, Русија, 199048",+7 812 318-31-92
"Trade and construction company ""Roof House""",Санкт-Петербург,materik-m.ru,"Торжковская ул., 1 корпус 2, Санкт-Петербург, Русија, 197342",+7 812 777-79-47
TIKKURILA - СТРОЙТОВАРЫ СТРОЙМАГ МАСТЕР ОК!,Санкт-Петербург,materik-m.ru,"Санкт-Петербург , Кузнечный переулок 16 ул. Пушкинская.19 пом. 7- Н, Санкт-Петербург, Русија, 191040",+7 812 572-11-85
Lerua Merlen,Санкт-Петербург,spb.leroymerlin.ru,"ул. Руставели, 59, Санкт-Петербург, Русија, 195299",+7 800 700-00-99
Apel'sin Grupp,Санкт-Петербург,apelsingroup.ru,"пр. Юрия Гагарина, 2, к.3, Санкт-Петербург, Русија, 196105",+7 812 385-67-76
Stroykhozmarket Bau,Санкт-Петербург,apelsingroup.ru,"Колпинская ул., 15, Санкт-Петербург, Русија, 197110",+7 812 235-46-59
"ТОП ХАУС, Офис продаж ""Озерки""",Санкт-Петербург,tophouse.ru,"Северный пр., 14/1, Санкт-Петербург, Русија, 194295",+7 812 244-95-35
Ambar-Stroy,Санкт-Петербург,ambar-stroy.ru,"Домостроительная ул., 11, Санкт-Петербург, Русија, 194292",+7 812 323-87-77
Saturn Stroymarket,Санкт-Петербург,ambar-stroy.ru,"Санкт-Петербургское ш., д.60, Санкт-Петербург, Русија, 198515",+7 812 323-87-77
Dzhi-Stroy,Санкт-Петербург,g-komplekt.ru,"ул. Коли Томчака, 28, 203, Санкт-Петербург, Русија, 196240",+7 812 715-55-10
Fossa,Санкт-Петербург,g-komplekt.ru,"Фурштатская ул., 10, Санкт-Петербург, Русија, 191028",+7 812 272-65-19
Metizy,Санкт-Петербург,metizi.com,"Ленинский пр-т., 90, Санкт-Петербург, Русија, 198332",+7 812 743-10-10
"Torgovyy Dom ""Vimos""",Санкт-Петербург,sestroretsk.vimos.ru,"Транспортный пер., д.3, Сестрорецк, Санкт-Петербург, Русија, 197706",+7 812 666-66-55
Yevrostroy,Санкт-Петербург,sestroretsk.vimos.ru,"Английский пр., 46, Санкт-Петербург, Русија, 191121",+7 812 495-16-97
Stroy Bazar,Санкт-Петербург,sestroretsk.vimos.ru,"пр. Юрия Гагарина, 34, Санкт-Петербург, Русија, 196143",+7 981 688-57-59
Stroy-Ambar,Санкт-Петербург,sestroretsk.vimos.ru,"Караваевская ул., 24 корп 1, Санкт-Петербург, Русија, 192177",+7 953 168-15-46
Stroykhoztovary,Санкт-Петербург,vk.com,"пр-т. Энгельса, 111к1, Санкт-Петербург, Русија, 194354",+7 812 296-38-74
Domashniy Master,Санкт-Петербург,homaste.ru,"Кронверкская ул., 7, Санкт-Петербург, Русија, 197101",+7 812 929-60-70
"""Stroysklad"". Internet-Magazin Stroitel'nykh Materialov",Санкт-Петербург,stroysklad-spb.pulscen.ru,"ул. Шоссейная, 25, Санкт-Петербург, Ленинградская обл., Русија, 194292",+7 812 943-12-46
"Ars Spb, Tsentr Innovatsionnykh Otdelochnykh Materialov",Санкт-Петербург,arsspb.biz,"пр. Луначарского, 72, корп. 1, Санкт-Петербург, Русија, 194291",+7 812 643-38-46
Viking,Санкт-Петербург,arsspb.biz,"Большая Разночинная ул., 14, Санкт-Петербург, Русија, 197110",+7 812 643-38-46
Masterok Td Ooo,Санкт-Петербург,les-ms.ru,"ул. Профессора Попова, д.47, Санкт-Петербург, Русија, 190000",+7 812 448-07-33
Kompaniya Komstroy Spb,Санкт-Петербург,comstroy-spb.ru,"Пискарёвский пр., 63, Санкт-Петербург, Русија, 195273",+7 812 313-57-02
Imaks,Санкт-Петербург,imaks.su,"Минеральная улица, 13, лит.З, Санкт-Петербург, Русија, 195197",+7 800 555-28-65
Construction Materials,Санкт-Петербург,imaks.su,"Замшина ул., 33, Санкт-Петербург, Русија, 195271",+7 800 555-28-65
Yupiter.ru,Санкт-Петербург,imaks.su,"Комендантский проспект дом 51 копр. 1, Санкт-Петербург, Русија, 197350",+7 812 317-77-73
Slavdom,Санкт-Петербург,spb.slavdom.ru,"Аптекарская наб., 12, Санкт-Петербург, Русија, 197022",+7 812 337-51-51
"Stroytovary ""Domashniy Master""",Санкт-Петербург,homaste.ru,"Фурштатская улица 2/12 пом 4-Н, Санкт-Петербург, Русија, 191028",+7 812 925-70-80
Zagorodnyy Prospekt Stroitel'nyy Magazin,Санкт-Петербург,homaste.ru,"Кубинская ул., д. 73, кор. 1, Санкт-Петербург, Русија, 196240",+7 911 170-40-48
Tekhnonikol' Torgovaya Set',Санкт-Петербург,sankt-peterburg.tstn.ru,"просп. Обуховской Обороны, 76М, Санкт-Петербург, Русија, 192029",+7 800 600-09-95
Stroitel'nyy Internet-Magazin Perimetr,Санкт-Петербург,perimetr-shop.ru,"пр. Луначарского, 72 к.1, Санкт-Петербург, Русија, 194291",+7 812 467-40-31
Stroitel'nyy Internet Magazin,Санкт-Петербург,perimetr-shop.ru,"Предпортовая ул., 6к8, Санкт-Петербург, Русија, 196240",+7 995 651-80-18
Stroymag Stroytovary,Санкт-Петербург,stroymag-v-centre-spb.ru,"Садовая ул., д.77, Санкт-Петербург, Русија, 191021",+7 911 814-92-94
Stroitel'nyy Torgovyy Dom Sks,Санкт-Петербург,sks.spb.ru,"пр. Юрия Гагарина, д.2, корп.8, Санкт-Петербург, Русија, 196105",+7 812 740-17-17
Muravey,Санкт-Петербург,sks.spb.ru,"Большая Монетная ул., 29, Санкт-Петербург, Русија, 197101",+7 921 966-50-82
Stroykomplekt,Санкт-Петербург,sks.spb.ru,"Варшавская ул., 61/1, Санкт-Петербург, Русија, 196191",+7 921 966-50-82
СКС строительные материалы,Санкт-Петербург,stroysks.ru,"Благодатная ул., 63, Санкт-Петербург, Русија, 196105",+7 812 984-21-48
Stroydom,Санкт-Петербург,stroysks.ru,"ул. Ленсовета, 80, Санкт-Петербург, Русија, 196158",+7 812 382-87-92
1-Y Stroykhoz Magazin,Санкт-Петербург,stroysks.ru,"просп. Обуховской Обороны, 81, Санкт-Петербург, Русија, 192029",+7 901 373-48-98
"Stroy Diskont, Internet-Magazin Stroitel'nykh I Otdelochnykh Materialov",Санкт-Петербург,stroysks.ru,"Якорная ул., 10, Санкт-Петербург, Русија, 195027",+7 812 380-91-21
Stroymarket,Санкт-Петербург,stroysks.ru,"Шлиссельбургский пр., 13, Санкт-Петербург, Русија, 192076",+7 951 674-99-53
Stroykhoz,Санкт-Петербург,stroysks.ru,"Ивановская ул., 9, Санкт-Петербург, Русија, 192171",+7 812 362-23-60
Stroitel'nyy Mir,Санкт-Петербург,strmir.ru,"Выборгская наб., 29, Санкт-Петербург, Русија, 194044",+7 812 542-12-85
Lsr Tsentr Stroitel'nykh Materialov,Санкт-Петербург,lsrstena.ru,"к.1, Репищева ул., 10, Санкт-Петербург, Русија, 197375",+7 812 334-87-18
Bk Stroitel'nyye Materialy,Санкт-Петербург,lsrstena.ru,"Ломаная ул., 11, Санкт-Петербург, Русија, 196084",+7 812 334-87-18
Материк. Торгово-складской комплекс «Калинина»,Санкт-Петербург,materik-m.ru,"ул. Калинина, 39B, Санкт-Петербург, Русија, 198095",+7 812 318-31-92
"Uyutnyy Dom, Magazin Stroitel'nykh Tovarov",Санкт-Петербург,cork-house.ru,"Южное ш., 37, Санкт-Петербург, Русија, 192241",+7 812 715-35-35
Stroyslon,Санкт-Петербург,cork-house.ru,"Сытнинская ул., 3/5, Санкт-Петербург, Русија, 197198",+7 812 715-35-35
Nisko Spb,Санкт-Петербург,cork-house.ru,"ул. Марата, 49, Санкт-Петербург, Русија, 191002",+7 812 333-23-30
Td Master Komplekt,Санкт-Петербург,masterkomplekt.ru,"БЦ ""Кантемировский"", Инструментальная ул., 3, Санкт-Петербург, Русија, 197022",+7 812 244-72-22
Bsk,Санкт-Петербург,bsc.im,"Торфяная дор., 7, Санкт-Петербург, Русија, 197374",+7 812 313-87-17
VERTEX - интернет магазин строительных материалов,Санкт-Петербург,bsc.im,"Октябрьская наб., 34 корпус 6, 219, Санкт-Петербург, Русија, 193091",+7 812 241-15-75
Stroy Sklad Torgovo-Stroitel'nyy Internet-Magazin,Санкт-Петербург,stroy-sklad.spb.ru,"г. Санкт-Петербург, Поселок, Ольховая ул., 20Д, им. Свердлова, Санкт-Петербург, Русија, 197371",+7 812 925-78-77
Online Shop AyPokupka,Санкт-Петербург,ipokupka.com,"Коломяжский пр., 20, Санкт-Петерубрг, Санкт-Петербург, Русија, 197375",+7 981 890-75-59
"Stroitel'nyy Magazin ""U Soseda""",Санкт-Петербург,усоседа.рф,"ул. Валерия Гаврилина, 13к1, Санкт-Петербург, Русија, 194358",+7 952 272-34-43
Promtovary,Санкт-Петербург,усоседа.рф,"Граждaнский пр-т., 92, Санкт-Петербург, Русија, 195257",+7 952 272-34-43
Construction Trading House Petrovich,Ленинградская область,petrovich.ru,"12-13 километр, а/д Кола, 3, Кудрово, Ленинградская обл., Русија, 188657",+7 812 334-88-88
"Торговый Дом ""ВИМОС""",Ленинградская область,kirovsk.vimos.ru,"ул. Победы, 6, Кировск, Ленинградская обл., Русија, 187340",+7 812 666-66-55
Stroitel'nyy Magazin Element,Ленинградская область,gatchina.elementsm.ru,"Ленинградское ш., 10, Гатчина, Ленинградская обл., Русија, 188300",+7 921 746-54-14
Vimos,Ленинградская область,koltushi.vimos.ru,"улица Мелиораторов, 2 Колтушское сельское поселение, дер, Аро, Ленинградская обл., Русија, 188680",+7 812 666-66-55
"Trading House ""Vimos""",Ленинградская область,sosnovo.vimos.ru,"ул. Вокзальная, 8а, Сосново, Ленинградская обл., Русија, 188731",+7 812 666-66-55
Stroykhaus,Ленинградская область,строй-хаус.рф,"ул. Шоссейная, 57, Янино-1, Ленинградская обл., Русија, 188689",+7 800 201-23-29
Stroybaza,Санкт-Петербург,строй-хаус.рф,"ул. Шоссейная, 7, Санкт-Петербург, Ленинградская обл., Русија, 188660",+7 800 201-23-29
"Stroitel'naya Baza ""Sofiya""",Ленинградская область,sofbaz.ru,"Набережная ул., 1, 20-а, Кировск, Ленинградская обл., Русија, 187340",+7 911 952-79-47
Magazin Stroitel'nykh Tovarov,Ленинградская область,sofbaz.ru,"Leningrad Oblast, Русија, 188245",+7 911 952-79-47
Petrovich (Gatchina),Ленинградская область,gatchina.petrovich.ru,"Индустриальная ул., 45, Гатчина, Ленинградская обл., Русија, 188354",+7 813 712-99-98
Stroyudacha,Ленинградская область,bolshaya-ijora.stroyudacha.ru,"Приморское ш., 51, Большая Ижора, Ленинградская обл., Русија, 188531",+7 800 550-88-66
"Stroitel'nyy Magazin, Ropsha",Ленинградская область,bolshaya-ijora.stroyudacha.ru,"Стрельнинское ш. - Старо, Петергофская ул., Ропша, Ленинградская обл., Русија, 188513",+7 800 550-88-66
Svoy Dom - Stroitel'nyye Materialy I Tovary Dlya Doma,Ленинградская область,vk.com,"ул. Шувалова, 15, Мурино, Ленинградская обл., Русија, 188662",+7 904 555-99-92
"Magazin Stroitel'nykh Tovarov I Tovarov Dlya Doma ""Kerosinka""",Ленинградская область,vk.com,"Первомайская ул., 6, Будогощь, Ленинградская обл., Русија, 187120",+7 904 555-99-92
Stroitel'nyye Materialy,Ленинградская область,vk.com,"41К-179, Вартемяги, Ленинградская обл., Русија, 188653",+7 904 555-99-92
Stroyudacha Privetninskoe,Ленинградская область,privetninskoe.stroyudacha.ru,"Privetninskoe, Leningrad Oblast, Русија, 188852",+7 800 550-88-66
Stroitel'nyye Inzhenernyye Otdelochnyye Materialy,Ленинградская область,vanaheim.ru,"дер ул. Почтовая, 18, Фёдоровское, Ленинградская обл., Русија, 187021",+7 495 409-97-39
"Stroybaza ""Oreshek""",Ленинградская область,stroibaza-oreshek.ru,"Красный тракт, д. 14, Широкий ассортимент строительных материалов, ., Ленинградская обл., Русија, 187320",+7 921 798-65-06
Stroy Khauz,Ленинградская область,stroibaza-oreshek.ru,"п.им.Свердлова,Ленинградская обл. Западный проезд 2 к2, п.им.Свердлова, Ленинградская обл., Русија, 188682",+7 981 902-38-18
Khozyastvenno-Stroitel'nyy Magazin,Ленинградская область,stroibaza-oreshek.ru,"Озерновская ул., 6А, Рахья, Ленинградская обл., Русија, 188671",+7 813 706-63-60
"Telezhka, Stroitel'nyy Gipermarket",Санкт-Петербург,stmarket.su,"5А, д. Колтуши, Санкт-Петербург, Ленинградская обл., Русија, 188680",+7 812 679-70-70
"Torgovyy Dom ""Trud""",Ленинградская область,stmarket.su,"Ладожская ул., 9А, Кировск, Ленинградская обл., Русија, 187342",+7 812 679-70-70
Slava,Ленинградская область,stmarket.su,"наб. Ладожской Флотилии, 26 корпус 2, Новая Ладога, Ленинградская обл., Русија, 187450",+7 812 679-70-70
Stroyvkus - Stroitel'nyye Materialy,Ленинградская область,stroyvkus.ru,"ул. Новый Карьер, здание 3, Суоранда, Ленинградская обл., Русија, 188689",+7 812 454-15-65
Std Brigadir,Ленинградская область,brigadirstd.ru,"Красносельское ш., строение 2, Пески, Ленинградская обл., Русија, 188507",+7 921 960-58-30
Magazin Stroykhoztovary,Ленинградская область,vk.com,"Приладожский ул., 24, Приладожский, Ленинградская обл., Русија, 187326",+7 813 626-55-69
Russkaya Derevnya,Ленинградская область,tosno-stroy.ru,"Московское ш., 17а, Тосно, Ленинградская обл., Русија, 187002",+7 921 940-65-87
Petrovich (Kingissepp),Ленинградская область,kingisepp.petrovich.ru,"ул. Дорожников, 14, Кингисепп, Ленинградская обл., Русија, 188480",+7 813 754-77-77
Stroymaterialy,Санкт-Петербург,kingisepp.petrovich.ru,"Московское ш., Санкт-Петербург, Ленинградская обл., Русија, 196634",+7 813 754-77-77
"Masterkom, Stroitel'nyy Magazin",Ленинградская область,master-kom.ru,"Западная, 5-а, Коммунар, Ленинградская обл., Русија, 188320",+7 812 460-51-12
Stroymir,Ленинградская область,master-kom.ru,"Ленинградское ш., 30, дер. Ириновка, Ленинградская обл., Русија, 188672",+7 921 897-81-71
Stroybaza Putilovo,Ленинградская область,стройбаза-путилово.рф,"ул. Шоссейная, 7, д. Горная Шальдиха, Ленинградская обл., Русија, 187351",+7 911 927-77-90
BUILDING Base Termite,Ленинградская область,bazatermit.ru,"пос, ул. Мира, 10, пос. имени Морозова, Ленинградская обл., Русија, 188679",+7 812 334-14-17
"Magazin ""Stroykhoz""",Ленинградская область,bazatermit.ru,"Leningrad Oblast, Русија, 188200",+7 921 586-50-63
Stroytovary Muravey,Ленинградская область,bazatermit.ru,"Unnamed Road, Назия, Ленинградская обл., Русија, 187351",+7 921 586-50-63
"Stroitel'nyy Magazin ""Sampo""",Ленинградская область,bazatermit.ru,"Советская, 51, Ленинградская обл., Русија, 188918",+7 813 787-45-46
"Oreshek, Stroitel'naya Baza",Ленинградская область,stroibaza-oreshek.ru,"Красный тракт, 14, Шлиссельбург, Ленинградская обл., Русија, 187320",+7 921 798-65-06
Stroy Arsenal,Ленинградская область,stroibaza-oreshek.ru,"E105, Ленинградская обл., Русија, 187430",+7 931 207-56-59
Magazin Stroitel'nykh Materialov.,Ленинградская область,stroibaza-oreshek.ru,"ул. Жертв Революции, 21, Вырица, Ленинградская обл., Русија, 188382",+7 931 207-56-59
Tk Il'm,Ленинградская область,stroibaza-oreshek.ru,"Mga, Leningrad Oblast, Русија, 187300",+7 921 654-39-03
"Anturazh, Magazin Stroitel'nykh Tovarov I Inter'yernykh Resheniy",Ленинградская область,antyrag.ru,"Набережная ул., 5, Кировск, Ленинградская обл., Русија, 187340",+7 965 030-30-88
Al'fastroy,Ленинградская область,alfastroy-sosnovo.ru,"ул. Ленинградская, 71, Сосново, Ленинградская обл., Русија, 188730",+7 931 383-03-10
"Magazin ""Uyutnyy Dom""",Ленинградская область,alfastroy-sosnovo.ru,"ул. Петрозаводская, 15, Сясьстрой, Ленинградская обл., Русија, 187420",+7 951 676-97-08
Uroven',Ленинградская область,alfastroy-sosnovo.ru,"Ленинградская ул., 31, Кирпичное, Ленинградская обл., Русија, 188861",+7 813 786-91-94
Stroitel'nyye Tovary,Ленинградская область,alfastroy-sosnovo.ru,"Chernovo, Leningrad Oblast, Русија, 188301",+7 813 786-91-94
"Stroitel'naya Baza ""Razdol'ye""",Ленинградская область,alfastroy-sosnovo.ru,"посёлок Ларионово, Ленинградская область, Приозерский район, Ленинградская обл., Русија, 188763",+7 812 923-72-72
Stroytovary Baza Stroitel'nykh Materialov,Ленинградская область,alfastroy-sosnovo.ru,"Ленинградская ул. 7, Выборгский р-н, Кирпичное пос., Ленинградская обл., 188861, Кирпичное, Ленинградская обл., Русија, 188861",+7 812 923-72-72
СтройЛюбань. Строительные и отделочные материалы с доставкой! Низкие цены!,Ленинградская область,stroy-luban.ru,"Московское ш., 9, Любанское городское поселение, Ленинградская обл., Русија, 187051",+7 981 199-36-10
"Dialog, Khozyaystvennyy Magazin",Ленинградская область,stroy-luban.ru,"Кингисеппское ш., 22, Ивангород, Ленинградская обл., Русија, 188490",+7 813 755-15-42
Stroytorg,Ленинградская область,stroytorg-peterhof.ru,"Приморская ул., 37, Лебяжье, Ленинградская обл., Русија, 188532",+7 813 767-62-76
"TD ""Stroyudacha""",Ленинградская область,kirpichnoe.stroyudacha.ru,"Ленинградская ул., 12, Кирпичное, Ленинградская обл., Русија, 188861",+7 800 550-88-66
Vsevolozhskaya Timber base,Ленинградская область,vsevbaza.ru,"Пушкинская ул., 9, Всеволожск, Ленинградская обл., Русија, 188642",+7 812 346-52-63
Saturn,Санкт-Петербург,saturn.net,"Индустриальный пр., 71, Санкт-Петербург, Русија, 195279",+7 800 100-21-12
Metro Primorskaya,Санкт-Петербург,saturn.net,"ул. Оптиков, 45, Санкт-Петербург, Русија, 197374",+7 800 100-21-12
Poisk,Санкт-Петербург,saturn.net,"Садовая ул., 44, офис 25, Санкт-Петербург, Русија, 190031",+7 812 310-08-00
"Mastermarket, Stroitel'nyy Magazin",Санкт-Петербург,saturn.net,"Малый пр. П.С., 67, Санкт-Петербург, Русија, 197136",+7 812 903-60-08
"Ooo ""Prom"" - Vso Dlya Vashey Stroyki",Санкт-Петербург,komplektacya.ru,"ул. Александра Матросова, 4 корпус 2, Санкт-Петербург, Русија, 194100",+7 812 380-12-34
Stroitel'nyye Resursy,Санкт-Петербург,profpksr.ru,"192177, Санкт-Петербург г, 3-й Рыбацкий проезд.3.6, лит. А, пом.№11, оф№1, Санкт-Петербург, Русија, 192177",+7 812 502-72-04
PATINA,Санкт-Петербург,profpksr.ru,"Суворовский пр., 40, 1 этаж, вход со двора, Санкт-Петербург, Русија, 191015",+7 812 275-21-85
Nevskiye Stroymaterialy,Санкт-Петербург,profpksr.ru,"Завод ""Картонтоль, просп. Обуховской Обороны, 72, Санкт-Петербург, Русија, 192029",+7 812 365-53-59
Housing,Санкт-Петербург,profpksr.ru,"Удельный пр., 2a, Санкт-Петербург, Русија, 194017",+7 921 412-19-08
"Ooo ""Stroy-Otdelka"" Proizvodstvo I Prodazha Otdelochnykh Materialov",Санкт-Петербург,spb-centurion.ru,"просп. Обуховской Обороны, 120К, Санкт-Петербург, Русија, 192012",+7 812 380-83-18
Magazin Stroitel'nyye Tovary,Санкт-Петербург,spb-centurion.ru,"Сант Петерсбург, Русија, 197101",+7 812 380-83-18
Razmetelevo,Ленинградская область,stroybaza-razmetelevo.ru,"М-18 Е-105, Мурманское ш., Разметелево, Ленинградская обл., Русија, 188686",+7 812 448-64-63
Arteliya,Ленинградская область,arteliya.ru,"Ломоносовский район, промышленная зона Пески, Аннинское городское поселение, Ленинградская обл., Русија, 188505",+7 812 448-81-81
"Magazin ""Dom Plyus""",Ленинградская область,arteliya.ru,"Ул. Некрасова, д. 37, корпус 1А, Выборг, Ленинградская обл., Русија, 188800",+7 921 928-58-15
"Stroitel'nyy Magazin ""Stroydombaza""",Ленинградская область,orlan-luga.ru,"Малая Инженерная ул., 2, Луга, Ленинградская обл., Русија, 188230",+7 813 722-20-72
"Stroitel'naya Torgovaya Kompaniya ""Nova""",Ленинградская область,orlan-luga.ru,"ул. Суворова, 47, Новая Ладога, Ленинградская обл., Русија, 187450",+7 962 703-71-81
Nikol'skiy,Ленинградская область,orlan-luga.ru,"пр. Ленина, 10, Тосно, Ленинградская обл., Русија, 187002",+7 813 612-56-96
Stroitel'nyy,Ленинградская область,stdvolhov.ru,"ул. Юрия Гагарина, 27 а, Волхов, Ленинградская обл., Русија, 187400",+7 813 637-27-24
"Stroybaza ""Termit""",Ленинградская область,bazatermit.ru,"Dunai, Leningrad Oblast, Русија, 188679",+7 906 250-50-24
Строй-Любань. Строительные и отделочные материалы с доставкой! Низкие цены!,Ленинградская область,stroy-luban.ru,"ул. Ленина, д 20, Любанское городское поселение, Ленинградская обл., Русија, 187051",+7 952 281-78-98
Stena,Ленинградская область,stena.spb.ru,"Колтушское ш., 184, Всеволожск, Ленинградская обл., Русија, 188640",+7 812 900-91-09
Stroitel'naya Baza,Ленинградская область,stena.spb.ru,"Железнодорожная ул., 22, Кировск, Ленинградская обл., Русија, 187342",+7 812 900-91-09
Torgovyy Dom Stroitel',Ленинградская область,stena.spb.ru,"ул. Калинина, 44, Волхов, Ленинградская обл., Русија, 187406",+7 812 900-91-09
Yefimych,Ленинградская область,stena.spb.ru,"ул. Энергетиков, 2к3, Тосно, Ленинградская обл., Русија, 187000",+7 911 236-17-74
Zolushka,Ленинградская область,zolyska.ru,"ул. 6-й микрорайон, Д.10, Тихвин, Ленинградская обл., Русија, 187556",+7 911 817-60-69
"Magazin ""Kvant"" Stroytovary",Ленинградская область,zolyska.ru,"Maloe Karlino, Leningrad Oblast, Русија, 188506",+7 931 586-47-05
Строймаркет Искрасофт,Ленинградская область,zolyska.ru,"ул. Куйбышева, 10, Выборг, Ленинградская обл., Русија, 188800",+7 813 782-14-39
Stroim Nash Dom,Ленинградская область,strongfix.ru,"Ленинградское ш., 65, Выборг, Ленинградская обл., Русија, 188805",+7 813 785-05-55
Stroyopttorg,Ленинградская область,strongfix.ru,"Шлисељбург, Лењинградска област, Русија, 187320",+7 813 627-74-92
Forum,Ленинградская область,strongfix.ru,"ул. Советская, 28, Сясьстрой, Ленинградская обл., Русија, 187420",+7 813 635-41-00
Magazin Stroyka,Ленинградская область,strongfix.ru,"ул. Маяковского, Волхов, Ленинградская обл., Русија, 187406",+7 921 872-91-39
Stroitel'nyy Torgovyy Dom,Ленинградская область,stdvolhov.ru,"ул. Юрия Гагарина, д. 27А, Волхов, Ленинградская обл., Русија, 187401",+7 813 637-52-42
Stroymarket 365,Архангельская область,stroymarket-365.ru,"ул. Мостовая, 3 стр. 3, Архангельск, Архангельская обл., Русија, 163059",+7 818 247-07-30
Stroymaterialy-Plyus,Архангельская область,стройматериалы29.рф,"Талажское шоссе д. 1/с1, Архангельск, Архангельская обл., Русија, 163045",+7 818 247-12-17
Al'batros,Архангельская область,стройматериалы29.рф,"Архангельская обл. Плесецкий р-он пСевероонежск 2 мкр-он д 22, рп Североонежск, Архангельская обл., Русија, 164268",+7 921 474-73-76
"Muravey, Magazin Otdelochnykh I Stroitel'nykh Materialov",Архангельская область,muravei29.ru,"Окружное ш., 6 корпус 1, Архангельск, Архангельская обл., Русија, 163045",+7 818 262-56-41
"Som, Magazin Stroitel'nykh Tovarov",Архангельская область,muravei29.ru,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",+7 818 265-79-56
"Domostroy, Set' Magazinov Stroitel'nykh I Otdelochnykh Materialov",Архангельская область,muravei29.ru,"Вологодская ул., 53, Архангельск, Архангельская обл., Русија, 163001",+7 818 265-79-56
