Name,Phone,Address,Website
Minvata Spb,+7 812 412-15-59,"Хрустальная ул., 27, Санкт-Петербург, Русија, 192019",arhimedmarket.ru
"Arkhimed, Stroymarket, Ooo",+7 812 240-21-30,"пр. Просвещения, 35, Санкт-Петербург, Русија, 194295",arhimedmarket.ru
Stroytovary,+7 921 345-82-38,"Финский пер., 9, Санкт-Петербург, Русија, 195009",arhimedmarket.ru
Metizy-Kamkabel',+7 812 490-46-22,"Лиговский пр., 179, Санкт-Петербург, Русија, 192007",arhimedmarket.ru
Platon Spb,+7 812 642-50-74,"Удельный пр., 29, Санкт-Петербург, Русија, 194214",spbplaton.ru
Материк. Офис продаж «Смоленка»,+7 812 318-31-92,"наб. реки Смоленки, д.31, Санкт-Петербург, Русија, 199048",materik-m.ru
"Trade and construction company ""Roof House""",+7 812 777-79-47,"Торжковская ул., 1 корпус 2, Санкт-Петербург, Русија, 197342",materik-m.ru
TIKKURILA - СТРОЙТОВАРЫ СТРОЙМАГ МАСТЕР ОК!,+7 812 572-11-85,"Санкт-Петербург , Кузнечный переулок 16 ул. Пушкинская.19 пом. 7- Н, Санкт-Петербург, Русија, 191040",materik-m.ru
Lerua Merlen,+7 800 700-00-99,"ул. Руставели, 59, Санкт-Петербург, Русија, 195299",spb.leroymerlin.ru
Apel'sin Grupp,+7 812 385-67-76,"пр. Юрия Гагарина, 2, к.3, Санкт-Петербург, Русија, 196105",apelsingroup.ru
Stroykhozmarket Bau,+7 812 235-46-59,"Колпинская ул., 15, Санкт-Петербург, Русија, 197110",apelsingroup.ru
"ТОП ХАУС, Офис продаж ""Озерки""",+7 812 244-95-35,"Северный пр., 14/1, Санкт-Петербург, Русија, 194295",tophouse.ru
Ambar-Stroy,+7 812 323-87-77,"Домостроительная ул., 11, Санкт-Петербург, Русија, 194292",ambar-stroy.ru
Saturn Stroymarket,+7 812 323-87-77,"Санкт-Петербургское ш., д.60, Санкт-Петербург, Русија, 198515",ambar-stroy.ru
Dzhi-Stroy,+7 812 715-55-10,"ул. Коли Томчака, 28, 203, Санкт-Петербург, Русија, 196240",g-komplekt.ru
Fossa,+7 812 272-65-19,"Фурштатская ул., 10, Санкт-Петербург, Русија, 191028",g-komplekt.ru
Metizy,+7 812 743-10-10,"Ленинский пр-т., 90, Санкт-Петербург, Русија, 198332",metizi.com
"Torgovyy Dom ""Vimos""",+7 812 666-66-55,"Транспортный пер., д.3, Сестрорецк, Санкт-Петербург, Русија, 197706",sestroretsk.vimos.ru
Yevrostroy,+7 812 495-16-97,"Английский пр., 46, Санкт-Петербург, Русија, 191121",sestroretsk.vimos.ru
Stroy Bazar,+7 981 688-57-59,"пр. Юрия Гагарина, 34, Санкт-Петербург, Русија, 196143",sestroretsk.vimos.ru
Stroy-Ambar,+7 953 168-15-46,"Караваевская ул., 24 корп 1, Санкт-Петербург, Русија, 192177",sestroretsk.vimos.ru
Stroykhoztovary,+7 812 296-38-74,"пр-т. Энгельса, 111к1, Санкт-Петербург, Русија, 194354",vk.com
Domashniy Master,+7 812 929-60-70,"Кронверкская ул., 7, Санкт-Петербург, Русија, 197101",homaste.ru
"""Stroysklad"". Internet-Magazin Stroitel'nykh Materialov",+7 812 943-12-46,"ул. Шоссейная, 25, Санкт-Петербург, Ленинградская обл., Русија, 194292",stroysklad-spb.pulscen.ru
"Ars Spb, Tsentr Innovatsionnykh Otdelochnykh Materialov",+7 812 643-38-46,"пр. Луначарского, 72, корп. 1, Санкт-Петербург, Русија, 194291",arsspb.biz
Viking,+7 812 643-38-46,"Большая Разночинная ул., 14, Санкт-Петербург, Русија, 197110",arsspb.biz
Masterok Td Ooo,+7 812 448-07-33,"ул. Профессора Попова, д.47, Санкт-Петербург, Русија, 190000",les-ms.ru
Kompaniya Komstroy Spb,+7 812 313-57-02,"Пискарёвский пр., 63, Санкт-Петербург, Русија, 195273",comstroy-spb.ru
Imaks,+7 800 555-28-65,"Минеральная улица, 13, лит.З, Санкт-Петербург, Русија, 195197",imaks.su
Construction Materials,+7 800 555-28-65,"Замшина ул., 33, Санкт-Петербург, Русија, 195271",imaks.su
Yupiter.ru,+7 812 317-77-73,"Комендантский проспект дом 51 копр. 1, Санкт-Петербург, Русија, 197350",imaks.su
Slavdom,+7 812 337-51-51,"Аптекарская наб., 12, Санкт-Петербург, Русија, 197022",spb.slavdom.ru
"Stroytovary ""Domashniy Master""",+7 812 925-70-80,"Фурштатская улица 2/12 пом 4-Н, Санкт-Петербург, Русија, 191028",homaste.ru
Zagorodnyy Prospekt Stroitel'nyy Magazin,+7 911 170-40-48,"Кубинская ул., д. 73, кор. 1, Санкт-Петербург, Русија, 196240",homaste.ru
Tekhnonikol' Torgovaya Set',+7 800 600-09-95,"просп. Обуховской Обороны, 76М, Санкт-Петербург, Русија, 192029",sankt-peterburg.tstn.ru
Stroitel'nyy Internet-Magazin Perimetr,+7 812 467-40-31,"пр. Луначарского, 72 к.1, Санкт-Петербург, Русија, 194291",perimetr-shop.ru
Stroitel'nyy Internet Magazin,+7 995 651-80-18,"Предпортовая ул., 6к8, Санкт-Петербург, Русија, 196240",perimetr-shop.ru
Stroymag Stroytovary,+7 911 814-92-94,"Садовая ул., д.77, Санкт-Петербург, Русија, 191021",stroymag-v-centre-spb.ru
Stroitel'nyy Torgovyy Dom Sks,+7 812 740-17-17,"пр. Юрия Гагарина, д.2, корп.8, Санкт-Петербург, Русија, 196105",sks.spb.ru
Muravey,+7 921 966-50-82,"Большая Монетная ул., 29, Санкт-Петербург, Русија, 197101",sks.spb.ru
Stroykomplekt,+7 921 966-50-82,"Варшавская ул., 61/1, Санкт-Петербург, Русија, 196191",sks.spb.ru
СКС строительные материалы,+7 812 984-21-48,"Благодатная ул., 63, Санкт-Петербург, Русија, 196105",stroysks.ru
Stroydom,+7 812 382-87-92,"ул. Ленсовета, 80, Санкт-Петербург, Русија, 196158",stroysks.ru
1-Y Stroykhoz Magazin,+7 901 373-48-98,"просп. Обуховской Обороны, 81, Санкт-Петербург, Русија, 192029",stroysks.ru
"Stroy Diskont, Internet-Magazin Stroitel'nykh I Otdelochnykh Materialov",+7 812 380-91-21,"Якорная ул., 10, Санкт-Петербург, Русија, 195027",stroysks.ru
Stroymarket,+7 951 674-99-53,"Шлиссельбургский пр., 13, Санкт-Петербург, Русија, 192076",stroysks.ru
Stroykhoz,+7 812 362-23-60,"Ивановская ул., 9, Санкт-Петербург, Русија, 192171",stroysks.ru
Stroitel'nyy Mir,+7 812 542-12-85,"Выборгская наб., 29, Санкт-Петербург, Русија, 194044",strmir.ru
Lsr Tsentr Stroitel'nykh Materialov,+7 812 334-87-18,"к.1, Репищева ул., 10, Санкт-Петербург, Русија, 197375",lsrstena.ru
Bk Stroitel'nyye Materialy,+7 812 334-87-18,"Ломаная ул., 11, Санкт-Петербург, Русија, 196084",lsrstena.ru
Материк. Торгово-складской комплекс «Калинина»,+7 812 318-31-92,"ул. Калинина, 39B, Санкт-Петербург, Русија, 198095",materik-m.ru
"Uyutnyy Dom, Magazin Stroitel'nykh Tovarov",+7 812 715-35-35,"Южное ш., 37, Санкт-Петербург, Русија, 192241",cork-house.ru
Stroyslon,+7 812 715-35-35,"Сытнинская ул., 3/5, Санкт-Петербург, Русија, 197198",cork-house.ru
Nisko Spb,+7 812 333-23-30,"ул. Марата, 49, Санкт-Петербург, Русија, 191002",cork-house.ru
Td Master Komplekt,+7 812 244-72-22,"БЦ ""Кантемировский"", Инструментальная ул., 3, Санкт-Петербург, Русија, 197022",masterkomplekt.ru
Bsk,+7 812 313-87-17,"Торфяная дор., 7, Санкт-Петербург, Русија, 197374",bsc.im
VERTEX - интернет магазин строительных материалов,+7 812 241-15-75,"Октябрьская наб., 34 корпус 6, 219, Санкт-Петербург, Русија, 193091",bsc.im
Stroy Sklad Torgovo-Stroitel'nyy Internet-Magazin,+7 812 925-78-77,"г. Санкт-Петербург, Поселок, Ольховая ул., 20Д, им. Свердлова, Санкт-Петербург, Русија, 197371",stroy-sklad.spb.ru
Online Shop AyPokupka,+7 981 890-75-59,"Коломяжский пр., 20, Санкт-Петерубрг, Санкт-Петербург, Русија, 197375",ipokupka.com
"Stroitel'nyy Magazin ""U Soseda""",+7 952 272-34-43,"ул. Валерия Гаврилина, 13к1, Санкт-Петербург, Русија, 194358",усоседа.рф
Promtovary,+7 952 272-34-43,"Граждaнский пр-т., 92, Санкт-Петербург, Русија, 195257",усоседа.рф
Construction Trading House Petrovich,+7 812 334-88-88,"12-13 километр, а/д Кола, 3, Кудрово, Ленинградская обл., Русија, 188657",petrovich.ru
"Торговый Дом ""ВИМОС""",+7 812 666-66-55,"ул. Победы, 6, Кировск, Ленинградская обл., Русија, 187340",kirovsk.vimos.ru
Stroitel'nyy Magazin Element,+7 921 746-54-14,"Ленинградское ш., 10, Гатчина, Ленинградская обл., Русија, 188300",gatchina.elementsm.ru
Vimos,+7 812 666-66-55,"улица Мелиораторов, 2 Колтушское сельское поселение, дер, Аро, Ленинградская обл., Русија, 188680",koltushi.vimos.ru
"Trading House ""Vimos""",+7 812 666-66-55,"ул. Вокзальная, 8а, Сосново, Ленинградская обл., Русија, 188731",sosnovo.vimos.ru
Stroykhaus,+7 800 201-23-29,"ул. Шоссейная, 57, Янино-1, Ленинградская обл., Русија, 188689",строй-хаус.рф
Stroybaza,+7 800 201-23-29,"ул. Шоссейная, 7, Санкт-Петербург, Ленинградская обл., Русија, 188660",строй-хаус.рф
"Stroitel'naya Baza ""Sofiya""",+7 911 952-79-47,"Набережная ул., 1, 20-а, Кировск, Ленинградская обл., Русија, 187340",sofbaz.ru
Magazin Stroitel'nykh Tovarov,+7 911 952-79-47,"Leningrad Oblast, Русија, 188245",sofbaz.ru
Petrovich (Gatchina),+7 813 712-99-98,"Индустриальная ул., 45, Гатчина, Ленинградская обл., Русија, 188354",gatchina.petrovich.ru
Stroyudacha,+7 800 550-88-66,"Приморское ш., 51, Большая Ижора, Ленинградская обл., Русија, 188531",bolshaya-ijora.stroyudacha.ru
"Stroitel'nyy Magazin, Ropsha",+7 800 550-88-66,"Стрельнинское ш. - Старо, Петергофская ул., Ропша, Ленинградская обл., Русија, 188513",bolshaya-ijora.stroyudacha.ru
Svoy Dom - Stroitel'nyye Materialy I Tovary Dlya Doma,+7 904 555-99-92,"ул. Шувалова, 15, Мурино, Ленинградская обл., Русија, 188662",vk.com
"Magazin Stroitel'nykh Tovarov I Tovarov Dlya Doma ""Kerosinka""",+7 904 555-99-92,"Первомайская ул., 6, Будогощь, Ленинградская обл., Русија, 187120",vk.com
Stroitel'nyye Materialy,+7 904 555-99-92,"41К-179, Вартемяги, Ленинградская обл., Русија, 188653",vk.com
Stroyudacha Privetninskoe,+7 800 550-88-66,"Privetninskoe, Leningrad Oblast, Русија, 188852",privetninskoe.stroyudacha.ru
Stroitel'nyye Inzhenernyye Otdelochnyye Materialy,+7 495 409-97-39,"дер ул. Почтовая, 18, Фёдоровское, Ленинградская обл., Русија, 187021",vanaheim.ru
"Stroybaza ""Oreshek""",+7 921 798-65-06,"Красный тракт, д. 14, Широкий ассортимент строительных материалов, ., Ленинградская обл., Русија, 187320",stroibaza-oreshek.ru
Stroy Khauz,+7 981 902-38-18,"п.им.Свердлова,Ленинградская обл. Западный проезд 2 к2, п.им.Свердлова, Ленинградская обл., Русија, 188682",stroibaza-oreshek.ru
Khozyastvenno-Stroitel'nyy Magazin,+7 813 706-63-60,"Озерновская ул., 6А, Рахья, Ленинградская обл., Русија, 188671",stroibaza-oreshek.ru
"Telezhka, Stroitel'nyy Gipermarket",+7 812 679-70-70,"5А, д. Колтуши, Санкт-Петербург, Ленинградская обл., Русија, 188680",stmarket.su
"Torgovyy Dom ""Trud""",+7 812 679-70-70,"Ладожская ул., 9А, Кировск, Ленинградская обл., Русија, 187342",stmarket.su
Slava,+7 812 679-70-70,"наб. Ладожской Флотилии, 26 корпус 2, Новая Ладога, Ленинградская обл., Русија, 187450",stmarket.su
Stroyvkus - Stroitel'nyye Materialy,+7 812 454-15-65,"ул. Новый Карьер, здание 3, Суоранда, Ленинградская обл., Русија, 188689",stroyvkus.ru
Std Brigadir,+7 921 960-58-30,"Красносельское ш., строение 2, Пески, Ленинградская обл., Русија, 188507",brigadirstd.ru
Magazin Stroykhoztovary,+7 813 626-55-69,"Приладожский ул., 24, Приладожский, Ленинградская обл., Русија, 187326",vk.com
Russkaya Derevnya,+7 921 940-65-87,"Московское ш., 17а, Тосно, Ленинградская обл., Русија, 187002",tosno-stroy.ru
Petrovich (Kingissepp),+7 813 754-77-77,"ул. Дорожников, 14, Кингисепп, Ленинградская обл., Русија, 188480",kingisepp.petrovich.ru
Stroymaterialy,+7 813 754-77-77,"Московское ш., Санкт-Петербург, Ленинградская обл., Русија, 196634",kingisepp.petrovich.ru
"Masterkom, Stroitel'nyy Magazin",+7 812 460-51-12,"Западная, 5-а, Коммунар, Ленинградская обл., Русија, 188320",master-kom.ru
Stroymir,+7 921 897-81-71,"Ленинградское ш., 30, дер. Ириновка, Ленинградская обл., Русија, 188672",master-kom.ru
Stroybaza Putilovo,+7 911 927-77-90,"ул. Шоссейная, 7, д. Горная Шальдиха, Ленинградская обл., Русија, 187351",стройбаза-путилово.рф
BUILDING Base Termite,+7 812 334-14-17,"пос, ул. Мира, 10, пос. имени Морозова, Ленинградская обл., Русија, 188679",bazatermit.ru
"Magazin ""Stroykhoz""",+7 921 586-50-63,"Leningrad Oblast, Русија, 188200",bazatermit.ru
Stroytovary Muravey,+7 921 586-50-63,"Unnamed Road, Назия, Ленинградская обл., Русија, 187351",bazatermit.ru
"Stroitel'nyy Magazin ""Sampo""",+7 813 787-45-46,"Советская, 51, Ленинградская обл., Русија, 188918",bazatermit.ru
"Oreshek, Stroitel'naya Baza",+7 921 798-65-06,"Красный тракт, 14, Шлиссельбург, Ленинградская обл., Русија, 187320",stroibaza-oreshek.ru
Stroy Arsenal,+7 931 207-56-59,"E105, Ленинградская обл., Русија, 187430",stroibaza-oreshek.ru
Magazin Stroitel'nykh Materialov.,+7 931 207-56-59,"ул. Жертв Революции, 21, Вырица, Ленинградская обл., Русија, 188382",stroibaza-oreshek.ru
Tk Il'm,+7 921 654-39-03,"Mga, Leningrad Oblast, Русија, 187300",stroibaza-oreshek.ru
"Anturazh, Magazin Stroitel'nykh Tovarov I Inter'yernykh Resheniy",+7 965 030-30-88,"Набережная ул., 5, Кировск, Ленинградская обл., Русија, 187340",antyrag.ru
Al'fastroy,+7 931 383-03-10,"ул. Ленинградская, 71, Сосново, Ленинградская обл., Русија, 188730",alfastroy-sosnovo.ru
"Magazin ""Uyutnyy Dom""",+7 951 676-97-08,"ул. Петрозаводская, 15, Сясьстрой, Ленинградская обл., Русија, 187420",alfastroy-sosnovo.ru
Uroven',+7 813 786-91-94,"Ленинградская ул., 31, Кирпичное, Ленинградская обл., Русија, 188861",alfastroy-sosnovo.ru
Stroitel'nyye Tovary,+7 813 786-91-94,"Chernovo, Leningrad Oblast, Русија, 188301",alfastroy-sosnovo.ru
"Stroitel'naya Baza ""Razdol'ye""",+7 812 923-72-72,"посёлок Ларионово, Ленинградская область, Приозерский район, Ленинградская обл., Русија, 188763",alfastroy-sosnovo.ru
Stroytovary Baza Stroitel'nykh Materialov,+7 812 923-72-72,"Ленинградская ул. 7, Выборгский р-н, Кирпичное пос., Ленинградская обл., 188861, Кирпичное, Ленинградская обл., Русија, 188861",alfastroy-sosnovo.ru
СтройЛюбань. Строительные и отделочные материалы с доставкой! Низкие цены!,+7 981 199-36-10,"Московское ш., 9, Любанское городское поселение, Ленинградская обл., Русија, 187051",stroy-luban.ru
"Dialog, Khozyaystvennyy Magazin",+7 813 755-15-42,"Кингисеппское ш., 22, Ивангород, Ленинградская обл., Русија, 188490",stroy-luban.ru
Stroytorg,+7 813 767-62-76,"Приморская ул., 37, Лебяжье, Ленинградская обл., Русија, 188532",stroytorg-peterhof.ru
"TD ""Stroyudacha""",+7 800 550-88-66,"Ленинградская ул., 12, Кирпичное, Ленинградская обл., Русија, 188861",kirpichnoe.stroyudacha.ru
Vsevolozhskaya Timber base,+7 812 346-52-63,"Пушкинская ул., 9, Всеволожск, Ленинградская обл., Русија, 188642",vsevbaza.ru
Saturn,+7 800 100-21-12,"Индустриальный пр., 71, Санкт-Петербург, Русија, 195279",saturn.net
Metro Primorskaya,+7 800 100-21-12,"ул. Оптиков, 45, Санкт-Петербург, Русија, 197374",saturn.net
Poisk,+7 812 310-08-00,"Садовая ул., 44, офис 25, Санкт-Петербург, Русија, 190031",saturn.net
"Mastermarket, Stroitel'nyy Magazin",+7 812 903-60-08,"Малый пр. П.С., 67, Санкт-Петербург, Русија, 197136",saturn.net
"Ooo ""Prom"" - Vso Dlya Vashey Stroyki",+7 812 380-12-34,"ул. Александра Матросова, 4 корпус 2, Санкт-Петербург, Русија, 194100",komplektacya.ru
Stroitel'nyye Resursy,+7 812 502-72-04,"192177, Санкт-Петербург г, 3-й Рыбацкий проезд.3.6, лит. А, пом.№11, оф№1, Санкт-Петербург, Русија, 192177",profpksr.ru
PATINA,+7 812 275-21-85,"Суворовский пр., 40, 1 этаж, вход со двора, Санкт-Петербург, Русија, 191015",profpksr.ru
Nevskiye Stroymaterialy,+7 812 365-53-59,"Завод ""Картонтоль, просп. Обуховской Обороны, 72, Санкт-Петербург, Русија, 192029",profpksr.ru
Housing,+7 921 412-19-08,"Удельный пр., 2a, Санкт-Петербург, Русија, 194017",profpksr.ru
"Ooo ""Stroy-Otdelka"" Proizvodstvo I Prodazha Otdelochnykh Materialov",+7 812 380-83-18,"просп. Обуховской Обороны, 120К, Санкт-Петербург, Русија, 192012",spb-centurion.ru
Magazin Stroitel'nyye Tovary,+7 812 380-83-18,"Сант Петерсбург, Русија, 197101",spb-centurion.ru
Razmetelevo,+7 812 448-64-63,"М-18 Е-105, Мурманское ш., Разметелево, Ленинградская обл., Русија, 188686",stroybaza-razmetelevo.ru
Arteliya,+7 812 448-81-81,"Ломоносовский район, промышленная зона Пески, Аннинское городское поселение, Ленинградская обл., Русија, 188505",arteliya.ru
"Magazin ""Dom Plyus""",+7 921 928-58-15,"Ул. Некрасова, д. 37, корпус 1А, Выборг, Ленинградская обл., Русија, 188800",arteliya.ru
"Stroitel'nyy Magazin ""Stroydombaza""",+7 813 722-20-72,"Малая Инженерная ул., 2, Луга, Ленинградская обл., Русија, 188230",orlan-luga.ru
"Stroitel'naya Torgovaya Kompaniya ""Nova""",+7 962 703-71-81,"ул. Суворова, 47, Новая Ладога, Ленинградская обл., Русија, 187450",orlan-luga.ru
Nikol'skiy,+7 813 612-56-96,"пр. Ленина, 10, Тосно, Ленинградская обл., Русија, 187002",orlan-luga.ru
Stroitel'nyy,+7 813 637-27-24,"ул. Юрия Гагарина, 27 а, Волхов, Ленинградская обл., Русија, 187400",stdvolhov.ru
"Stroybaza ""Termit""",+7 906 250-50-24,"Dunai, Leningrad Oblast, Русија, 188679",bazatermit.ru
Строй-Любань. Строительные и отделочные материалы с доставкой! Низкие цены!,+7 952 281-78-98,"ул. Ленина, д 20, Любанское городское поселение, Ленинградская обл., Русија, 187051",stroy-luban.ru
Stena,+7 812 900-91-09,"Колтушское ш., 184, Всеволожск, Ленинградская обл., Русија, 188640",stena.spb.ru
Stroitel'naya Baza,+7 812 900-91-09,"Железнодорожная ул., 22, Кировск, Ленинградская обл., Русија, 187342",stena.spb.ru
Torgovyy Dom Stroitel',+7 812 900-91-09,"ул. Калинина, 44, Волхов, Ленинградская обл., Русија, 187406",stena.spb.ru
Yefimych,+7 911 236-17-74,"ул. Энергетиков, 2к3, Тосно, Ленинградская обл., Русија, 187000",stena.spb.ru
Zolushka,+7 911 817-60-69,"ул. 6-й микрорайон, Д.10, Тихвин, Ленинградская обл., Русија, 187556",zolyska.ru
"Magazin ""Kvant"" Stroytovary",+7 931 586-47-05,"Maloe Karlino, Leningrad Oblast, Русија, 188506",zolyska.ru
Строймаркет Искрасофт,+7 813 782-14-39,"ул. Куйбышева, 10, Выборг, Ленинградская обл., Русија, 188800",zolyska.ru
Stroim Nash Dom,+7 813 785-05-55,"Ленинградское ш., 65, Выборг, Ленинградская обл., Русија, 188805",strongfix.ru
Stroyopttorg,+7 813 627-74-92,"Шлисељбург, Лењинградска област, Русија, 187320",strongfix.ru
Forum,+7 813 635-41-00,"ул. Советская, 28, Сясьстрой, Ленинградская обл., Русија, 187420",strongfix.ru
Magazin Stroyka,+7 921 872-91-39,"ул. Маяковского, Волхов, Ленинградская обл., Русија, 187406",strongfix.ru
Stroitel'nyy Torgovyy Dom,+7 813 637-52-42,"ул. Юрия Гагарина, д. 27А, Волхов, Ленинградская обл., Русија, 187401",stdvolhov.ru
Stroymarket 365,+7 818 247-07-30,"ул. Мостовая, 3 стр. 3, Архангельск, Архангельская обл., Русија, 163059",stroymarket-365.ru
Stroymaterialy-Plyus,+7 818 247-12-17,"Талажское шоссе д. 1/с1, Архангельск, Архангельская обл., Русија, 163045",стройматериалы29.рф
Al'batros,+7 921 474-73-76,"Архангельская обл. Плесецкий р-он пСевероонежск 2 мкр-он д 22, рп Североонежск, Архангельская обл., Русија, 164268",стройматериалы29.рф
"Muravey, Magazin Otdelochnykh I Stroitel'nykh Materialov",+7 818 262-56-41,"Окружное ш., 6 корпус 1, Архангельск, Архангельская обл., Русија, 163045",muravei29.ru
"Som, Magazin Stroitel'nykh Tovarov",+7 818 265-79-56,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",muravei29.ru
"Domostroy, Set' Magazinov Stroitel'nykh I Otdelochnykh Materialov",+7 818 265-79-56,"Вологодская ул., 53, Архангельск, Архангельская обл., Русија, 163001",muravei29.ru
"Muravey, Torgovaya Set'",+7 818 265-79-56,"к, Окружное ш., 6 корпус 1, Архангельск, Архангельская обл., Русија, 163045",muravei29.ru
Mir Snabzheniya,+7 818 247-12-17,"Талажское ш., 1, Архангельск, Архангельская обл., Русија, 163045",ms29.ru
Стройбат,+7 818 229-45-45,"ул. Смольный Буян, 23к1, Архангельск, Архангельская обл., Русија, 163002",stroybat29.ru
"Avangard, Stroitel'nyy Supermarket",+7 818 372-74-70,"Болтинское ш., 8,корпус 3, Котлас, Архангельская обл., Русија, 165300",stroybat29.ru
"Ooo ""Sevstroytorg""",+7 818 264-13-53,"ул. Тимме, 23, Архангельск, Архангельская обл., Русија, 163071",sevstroytorg.com
Bastion,+7 962 660-54-09,"ул. 3-й микрорайон, 19, Североонежск, Архангельская обл., Русија, 164268",vk.com
"Novostroy, Ooo",+7 818 244-35-55,"Доковская ул., 6, корп. 2, Архангельск, Архангельская обл., Русија, 163038",novostroy-29.ru
"Stroyka, Optovo-Roznichnyy Tsentr",+7 818 327-43-13,"Партизанская ул., 1 корпус 2, Плесецк, Архангельская обл., Русија, 164262",novostroy-29.ru
"Ooo ""Russkiy Sever""",+7 818 524-58-76,"3-й пятилетки ул., 27, Новодвинск, Архангельская обл., Русија, 164901",novostroy-29.ru
stro18,+7 963 546-41-93,"просп. Ломоносова, 261, Архангельск, Архангельская обл., Русија, 163001",stro18.ru
ООО «СИТЕЛ»,+7 911 599-74-15,"улица Декабристов, д. 72, корп. 1, Новодвинск, Архангельская обл., Русија, 164901",sytel29.ru
"ООО ""Севстройторг""",+7 818 262-58-52,"Окружное ш., д. 6, к. 1, Архангельск, Архангельская обл., Русија, 163045",sevstroytorg.com
"Soyuz, Magazin Stroitel'nykh Tovarov",+7 818 372-74-49,"пр. Мира, 22, Котлас, Архангельская обл., Русија, 165300",sevstroytorg.com
Stroy Mir,+7 921 074-20-01,"ул. Пугачёва, 22, Котлас, Архангельская обл., Русија, 165305",малодвинье.рф
Snabzhenets,+7 818 268-13-00,"Розы Шаниной ул., 4, Архангельск, Архангельская обл., Русија, 163000",малодвинье.рф
Stroybaza Molotok,+7 818 268-13-00,"29, ул. Ленина, стр. 3, Архангельск, Архангельская обл., Русија, 163015",малодвинье.рф
"Stroymag, Magazin Stroitel'nykh Tovarov",+7 818 372-74-34,"Болтинское ш., 8, корп. 1, Котлас, Архангельская обл., Русија, 165300",малодвинье.рф
Ekonom,+7 911 564-72-52,"ТЦ ""Петровский"", ул. Русанова, 8, Архангельск, Архангельская обл., Русија, 163030",econom.su
Umelets,+7 911 564-72-52,"ул. Попова, 46, Архангельск, Архангельская обл., Русија, 163046",econom.su
Magazin Palych,+7 911 564-72-52,"Nyandoma, Arkhangelsk Oblast, Русија, 164200",econom.su
Perestroyka,+7 953 931-87-13,"ТД ""Димитровский"", ул. Димитрова, 15, 1 этаж, Новодвинск, Архангельская обл., Русија, 164902",econom.su
"Muravey, Magazin Otdelochnykh Materialov",+7 818 268-26-18,"ул. Розы Люксембург, 38, Архангельск, Архангельская обл., Русија, 163000",econom.su
